,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-12-08,0.24144582537728324,0.15199340688388074,0.13353943887769262,0.2785988591641719,0.15657370056947292,0.3173333533890495,0.11440196048411924,0.18056649434391073,0.3851748706778693,0.1721639437917121,0.09706893298042431,0.13366927774849902,0.12915679128374394,0.0785659397603901,0.22220914582143814,0.21806518082959958,0.2252727663073523,0.1979042209166896,0.24963153638012503,0.21216393665019848,0.16666951261292343,0.30535757756899046,0.10970262281857905,0.1309698567084515,0.19579114226923053,0.3213017669313204,0.09180871217345458
2020-12-09,0.2629498718426222,0.15825493298993162,0.1539143404264598,0.2871439934203806,0.16320244867251862,0.316457421080878,0.13036741414707897,0.1860229065755986,0.3844036618712442,0.1881723286554629,0.10813276171755738,0.129444961680255,0.11196089464000766,0.0934433587800298,0.22373609611857734,0.22177385030854327,0.21907727379825295,0.20562743252994237,0.2320066664771236,0.21855078101000375,0.1783983522996394,0.32250149856584115,0.1817648146098322,0.13894803819805038,0.22088817471840794,0.314162501900556,0.09567922960325936
2020-12-10,0.24197691642050445,0.1423270800089186,0.15030995244392778,0.2969500167399886,0.17599110091681938,0.3208625577849458,0.14554588635993732,0.18353212016063464,0.3647867486012615,0.24089944667596422,0.1100586023723249,0.12137028995306302,0.12352596719544186,0.0613002189807349,0.2353055304551609,0.20987762762792175,0.2203629758186799,0.23592244179341704,0.23280097170537933,0.19540750492473,0.17498481167187155,0.2791414465373645,0.20388728126590022,0.15825723777056236,0.20344931183740714,0.307760949009156,0.09551471675192227
2020-12-11,0.266314966284737,0.11790402256185503,0.1588786431951241,0.36257156518318123,0.21546313141235368,0.37955568770462567,0.1699814718912791,0.21535503166391803,0.37815803849940527,0.27447969673756917,0.09394245272272143,0.1369935446255391,0.134852035767167,0.08520004302151422,0.2702840272842693,0.21731370088013993,0.22660750442590472,0.23490600064079595,0.26782648271707465,0.18280233498045834,0.1961892471518405,0.30069211508177096,0.22596556953718688,0.18958448711502654,0.2037640905647176,0.3251802069733772,0.10457934642357802
2020-12-12,0.32066447520341657,0.12453316925270372,0.21297179241962252,0.3850652881209473,0.23754890938485446,0.3349701107303964,0.1686369220235986,0.22695628985778993,0.35007744882985986,0.2782591910599628,0.12524258857562376,0.18909581230993006,0.16516293028878404,0.15676321881748662,0.25636756411442446,0.2461072548596047,0.23419393559685753,0.2761526944603867,0.2990991191152933,0.20018026552308354,0.19081517596608072,0.3241779091021781,0.23636141843865177,0.2279823062658557,0.2350730020206491,0.37156434508912534,0.12489369102919586
2020-12-13,0.3028774059445026,0.10792448825146117,0.16794657132580393,0.37826164349460145,0.20708768432040506,0.3930702432076687,0.14434663336630027,0.17037754048233575,0.32146330076274554,0.2809492249534853,0.16399881342094058,0.15056558493655042,0.1632233000280491,0.16021421658921076,0.20993510459405043,0.20535714315433565,0.19879890175968967,0.29134146279773143,0.2904643511656382,0.2111507534729885,0.20452835987180729,0.39167265235531895,0.27818484893678513,0.2022403161469902,0.19443202659663306,0.34043892624774935,0.11273543066821817
2020-12-14,0.28500666606833125,0.12530757194785716,0.16233298238282734,0.38675089261814366,0.2472516859255417,0.37507568098477717,0.16722742069689384,0.16987485699089652,0.31062220365406257,0.30938188544738426,0.15653291743362266,0.1929688637596363,0.16201060871714626,0.17084449028099638,0.1957660443008759,0.1945420104466086,0.15344034326571399,0.28114136679931145,0.29789132488677833,0.25175729040813966,0.2256718364998453,0.38314048831816927,0.31492943039551735,0.2291742722062787,0.18379094133122492,0.36370456767566073,0.12902511893912919
2020-12-15,0.2769678530329264,0.12645588228975302,0.17588019853228715,0.3177388336098321,0.25768865845838795,0.32016252173351367,0.15913969019248442,0.14698986256672544,0.3233330973391353,0.3209516404202692,0.15275272665620798,0.17322466311746,0.16451506013355774,0.15038051063717744,0.18492097335372615,0.19457698979033963,0.1206299430372725,0.28344145969356044,0.2977570708672937,0.23809498762686457,0.19948038999932638,0.3359267186058581,0.3192152168750508,0.2219379047475572,0.1732006065555101,0.37442572713337563,0.13574462650345306
2020-12-16,0.27234169313135403,0.20461016112709685,0.17789986254842635,0.316460357872975,0.28875667717091347,0.32174187601697724,0.13059144743100612,0.16097611400870446,0.31306635968010177,0.362757855558586,0.156502869289347,0.14245435427154807,0.1626806856060835,0.15826900583370163,0.16422674077269808,0.184923560981932,0.11872236816044225,0.4136824904882872,0.2953725136714603,0.23469826547028377,0.21185270385478241,0.2812583078606709,0.31360217665616136,0.2387116050930638,0.17951755647489137,0.33981234605951477,0.12315948453454796
2020-12-17,0.27576408925477214,0.15898000499644033,0.19333047239090279,0.30952862072164655,0.3045691223676877,0.3374092833865838,0.1502521992168446,0.18999825867593603,0.3422496611846055,0.3482053097121038,0.15628661501466043,0.13883232496811793,0.174285988445235,0.17088960703560235,0.18745718784623508,0.18903393916749506,0.1258733914057284,0.42355250602216343,0.30717251602708723,0.22166201888317447,0.22018878433785863,0.32638371468362165,0.3096268401063078,0.2526189415220178,0.17992324577545288,0.3086182950306019,0.1259843130335583
